Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Wind,state
1/24/06,-41.875,33.077,765,16.271,0,2.211482147,25.66988467,0.617530718,Minas Gerais
2/23/06,-41.875,33.171,765,16.591,2.7714744,1.841359767,19.31613912,0.68240137,Minas Gerais
3/25/06,-41.875,29.328,765,17.349,0.157928436,1.888057823,26.16935526,0.739560092,Minas Gerais
4/24/06,-41.875,26.316,765,16.809,1.088333734,2.096151741,15.72254874,0.857149364,Minas Gerais
5/24/06,-41.875,26.108,765,13.813,0.044631972,2.106548737,17.3625705,0.812013204,Minas Gerais
6/23/06,-41.875,23.163,765,13.519,0.322723094,3.226673502,18.09084114,0.730293902,Minas Gerais
7/23/06,-41.875,26.171,765,10.256,0.003433226,2.735611456,20.7638451,0.697278076,Minas Gerais
8/22/06,-41.875,26.191,765,17.07,0.753593126,3.540859042,17.98188768,0.707242719,Minas Gerais
9/21/06,-41.875,30.721,765,16.674,0.034332286,2.610392327,17.57087091,0.649360958,Minas Gerais
10/21/06,-41.875,20.579,765,16.741,8.775330084,3.635379104,6.45716196,0.863086728,Minas Gerais
11/20/06,-41.875,30.214,765,16.561,0.027465818,2.147765281,23.5460502,0.704489554,Minas Gerais
12/20/06,-41.875,28.249,765,18.237,0.147628512,2.972859338,27.7813728,0.731073436,Minas Gerais
1/19/07,-41.875,31.581,765,15.876,0,2.957014237,31.65812172,0.58059737,Minas Gerais
2/18/07,-41.875,23.09,765,19.544,9.798431616,1.674259253,14.99394339,0.946792878,Minas Gerais
3/20/07,-41.875,30.998,765,16.275,0,2.0839698,27.71893296,0.654351601,Minas Gerais
4/19/07,-41.875,26.638,765,17.402,4.924964189,2.617983671,16.059042,0.871106061,Minas Gerais
5/19/07,-41.875,29.178,765,17.34,0.003433226,1.938588817,19.30685562,0.65797634,Minas Gerais
6/18/07,-41.875,26.606,765,12.873,0.010299679,2.558958533,19.3764393,0.716344555,Minas Gerais
7/18/07,-41.875,30.149,765,15.051,0.125312774,1.922358936,18.81821556,0.639570038,Minas Gerais
8/17/07,-41.875,22.777,765,12.833,0.394820964,3.397460149,21.0675375,0.77620218,Minas Gerais
9/16/07,-41.875,32.877,765,16.119,0.26264165,2.411763069,26.34153345,0.52860993,Minas Gerais
10/16/07,-41.875,29.229,765,15.701,0.10986336,3.917421658,29.4237936,0.614329929,Minas Gerais
11/15/07,-41.875,33.898,765,18.051,0.065231323,3.960986157,30.947715,0.49906082,Minas Gerais
12/15/07,-41.875,29.983,765,18.867,3.686431212,2.152629213,22.45753458,0.707139695,Minas Gerais
1/14/08,-41.875,25.619,765,14.394,0.017166132,2.850740496,14.74251113,0.717092556,Minas Gerais
2/13/08,-41.875,31.058,765,16.557,0.017166139,2.758593608,24.99665904,0.675305257,Minas Gerais
3/14/08,-41.875,33.843,765,17.307,1.350975132,2.115990918,22.15135944,0.655430501,Minas Gerais
4/13/08,-41.875,32.073,765,18.464,0.920105856,2.027988797,20.15347428,0.652432713,Minas Gerais
5/13/08,-41.875,24.617,765,14.575,1.92432402,2.482757303,17.42315742,0.700506298,Minas Gerais
6/12/08,-41.875,21.303,765,14.939,1.088333294,2.455758069,6.14879316,0.862269544,Minas Gerais
7/12/08,-41.875,21.221,765,10.737,0.628281374,3.950319807,9.72433368,0.782291438,Minas Gerais
8/11/08,-41.875,27.04,765,12.116,0.082397448,3.306278132,22.5550647,0.639854189,Minas Gerais
9/10/08,-41.875,29.414,765,12.99,0.099563652,3.48501765,25.42117518,0.594231679,Minas Gerais
10/10/08,-41.875,17.813,765,16.039,4.00314456,4.257023564,3.99380418,0.872824817,Minas Gerais
11/9/08,-41.875,30.816,765,18.765,3.18260412,3.036827266,19.52746416,0.640093116,Minas Gerais
12/9/08,-41.875,26.891,765,16.969,0.302124017,2.311395807,19.21752972,0.804830546,Minas Gerais
1/8/09,-41.875,28.195,765,18.185,0.413704195,2.394572087,19.00630602,0.832821191,Minas Gerais
2/7/09,-41.875,31.585,765,17.276,0.030899066,2.435080717,30.45154698,0.661459764,Minas Gerais
3/9/09,-41.875,30.008,765,17.28,0.446319842,2.47959813,19.75370767,0.725814882,Minas Gerais
4/8/09,-41.875,31.23,765,17.772,4.191975216,1.893696278,22.37782284,0.777262616,Minas Gerais
5/8/09,-41.875,26.675,765,16.784,0.363922013,2.696061649,13.88975364,0.778499373,Minas Gerais
6/7/09,-41.875,24.391,765,14.106,0.187111058,3.41222583,18.91377936,0.796468162,Minas Gerais
7/7/09,-41.875,22.675,765,16.166,1.349257421,3.302101119,11.2338549,0.775915316,Minas Gerais
8/6/09,-41.875,27.88,765,13.09,0,2.263443363,21.66446664,0.679099874,Minas Gerais
9/5/09,-41.875,33.623,765,18.561,0,2.583800834,18.76331484,0.566877605,Minas Gerais
10/5/09,-41.875,31.443,765,16.791,0.0686646,3.643129135,27.55558181,0.542329535,Minas Gerais
11/4/09,-41.875,26.448,765,16.661,0.006866453,3.056830376,23.43824694,0.710027481,Minas Gerais
12/4/09,-41.875,21.69,765,18.917,10.65673249,2.112096984,6.61162446,0.939428345,Minas Gerais
1/3/10,-41.875,29.802,765,15.119,1.799012052,2.457635505,28.16330544,0.806428658,Minas Gerais
2/2/10,-41.875,32.544,765,16.951,0.024032606,3.24291668,30.64119615,0.615160367,Minas Gerais
3/4/10,-41.875,26.235,765,19.715,30.41667248,1.242730596,10.81558206,0.940599311,Minas Gerais
4/3/10,-41.875,26.044,765,19.007,2.437591925,2.178562002,17.48447388,0.860901629,Minas Gerais
5/3/10,-41.875,21.658,765,16.369,0.600814678,2.259945648,6.551271,0.833043372,Minas Gerais
6/2/10,-41.875,19.354,765,16.36,2.44789164,2.427774829,3.76970562,0.899352794,Minas Gerais
7/2/10,-41.875,20.133,765,15.23,0.820541585,3.410749514,4.07722824,0.806333866,Minas Gerais
8/1/10,-41.875,27.099,765,8.875,0,1.972967271,22.0362768,0.650958273,Minas Gerais
8/31/10,-41.875,26.584,765,15.427,1.187896032,3.670442427,7.781459508,0.696302648,Minas Gerais
9/30/10,-41.875,27.342,765,19.804,2.454757459,1.778106284,12.76115281,0.781800095,Minas Gerais
10/30/10,-41.875,27.602,765,19.243,0.298690812,3.42095478,20.70388962,0.764025532,Minas Gerais
11/29/10,-41.875,23.983,765,18.025,5.053712796,2.141769754,13.90955112,0.924236747,Minas Gerais
12/29/10,-41.875,28.16,765,18.003,2.231598053,1.92638924,22.05574056,0.824883401,Minas Gerais
1/28/11,-41.875,24.142,765,16.536,8.191679846,2.205043922,20.13560698,0.924112011,Minas Gerais
2/27/11,-41.875,23.564,765,16.639,13.51833156,1.40914525,26.30542112,0.937197356,Minas Gerais
