state,month
Ceara,February
Ceara,February
Ceara,February
Ceara,February
Ceara,February
Ceara,February
Ceara,February
Ceara,February
Ceara,February
Ceara,February
Ceara,February
Ceara,February
Ceara,February
Ceara,February
Ceara,February
Ceara,February
Ceara,February
Ceara,February
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,March
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,April
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,May
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,June
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,July
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,August
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,September
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,October
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,November
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Ceara,December
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,January
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,February
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,March
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,April
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,May
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,June
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,July
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
