,Years,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Wind,April,August,December,February,January,July,June,March,May,November,October,September,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,Distrito Federal,Espirito Santo,Goias,Maranhao,Mato Grosso,Minas Gerais,Paraiba,Pará,Pernambuco,Piau,Rio
71,2009,-41.875,25.476,765.0,15.675999999999998,1.4067658580000002,2.679592162,13.0556826,0.7839906529999999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2010,-41.875,35.788000000000004,765.0,18.365,0.0,2.203051001,20.9781,0.46645844299999994,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2011,-41.875,32.325,765.0,19.262,0.190544112,2.8341308360000004,25.92376092,0.590682863,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2012,-41.875,28.921,765.0,15.050999999999998,0.0,2.494754855,25.88056281,0.7285637009999999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2013,-41.875,26.094,765.0,16.802,0.096130361,2.8890830339999996,20.4180174,0.7742043409999999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2014,-41.875,26.826999999999998,765.0,18.314,1.241112355,2.052755303,18.64991034,0.866741579,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2015,-41.875,23.065,765.0,15.514000000000001,1.019668428,2.331547917,8.07569928,0.8928196890000001,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2016,-41.875,24.419,765.0,14.731,0.27122504399999997,1.7199015990000002,11.4802866,0.863858391,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2017,-41.875,23.154,765.0,14.046,0.258350494,2.043932837,13.38598746,0.836193211,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1998,-41.875,24.774,765.0,14.344000000000001,0.041198724,2.2727962809999998,18.72017064,0.747205563,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
