,Years,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Wind,April,August,December,February,January,July,June,March,May,November,October,September,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,Distrito Federal,Espirito Santo,Goias,Maranhao,Mato Grosso,Minas Gerais,Paraiba,Pará,Pernambuco,Piau,Rio
2466,2013,-50.9375,28.259,21.0,22.529,8.68263768,1.226325725,9.66656304,0.9506356570000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2467,2014,-50.9375,29.929000000000002,21.0,19.660999999999998,0.442886544,1.676738309,25.87442904,0.8568456590000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2468,2015,-50.9375,27.982,21.0,21.651,0.9707454,1.290705015,5.98117176,0.897875175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2469,2016,-50.9375,33.15,21.0,22.051,0.0,2.3474521,27.65738916,0.695030756,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2470,2017,-50.9375,34.148,21.0,21.281999999999996,0.0,2.348547059,27.38666412,0.6816725229999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2471,1998,-50.9375,34.652,21.0,22.679000000000002,0.054931644,2.427421402,26.09960652,0.707605376,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2472,1999,-50.9375,32.954,21.0,21.573,2.9233917000000003,2.265691447,25.0990875,0.746957237,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2473,2000,-50.9375,32.571999999999996,21.0,21.875,0.017166146,2.30426338,23.6902509,0.7202856870000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2474,2001,-50.9375,25.721,21.0,22.768,32.2689096,1.754567334,13.93706565,0.952427061,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2475,2002,-50.9375,26.919,21.0,22.680999999999997,20.97186984,1.9617482080000002,21.26351477,0.9466196020000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2476,2003,-50.9375,27.475,21.0,22.521,15.68641635,1.5744228269999998,26.2846701,0.939835103,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2477,2004,-50.9375,26.248,21.0,22.668000000000003,10.71510462,1.099042528,10.3109679,0.9611756909999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2478,2005,-50.9375,26.766,21.0,20.754,24.05146356,1.070368123,22.6696518,0.9599743209999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2479,2006,-50.9375,26.980999999999998,21.0,20.71,10.29624768,0.924724192,24.33701196,0.9402590470000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2480,2007,-50.9375,27.928,21.0,22.401,3.031541784,1.237371323,14.41277208,0.8967566379999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2481,2008,-50.9375,32.766,21.0,21.585,3.04270002,1.744152462,27.78063624,0.732379338,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2482,2009,-50.9375,32.781,21.0,23.362,0.50125104,1.877871113,19.43179207,0.7243740059999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2483,2010,-50.9375,32.847,21.0,22.71,2.24189748,2.13274242,25.57816956,0.748388018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2484,2011,-50.9375,27.857,21.0,22.224,9.619908516,1.482704007,19.2692799,0.9115977479999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2485,2012,-50.9375,27.79,21.0,22.646,12.24975492,2.064760988,25.35867792,0.910722012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2486,2013,-50.9375,26.423000000000002,21.0,23.051,17.766954000000002,1.968263004,16.94069289,0.941610177,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2487,2014,-50.9375,30.06,21.0,22.793000000000003,1.546668972,2.685464314,27.97937424,0.808414651,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2488,2015,-50.9375,27.375999999999998,21.0,22.929000000000002,25.14152852,1.39434147,22.58020926,0.928455037,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2489,2016,-50.9375,26.82,21.0,21.656999999999996,11.46870044,1.30289351,25.04531376,0.950794145,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2490,2017,-50.9375,27.51,21.0,22.741,17.18673653,1.169525326,20.6054415,0.952873735,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2491,1998,-50.9375,26.919,21.0,21.866,16.77817969,1.295748292,23.766246,0.952597438,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2492,1999,-50.9375,28.093000000000004,21.0,21.094,9.0705852,1.232291935,26.29416906,0.902698014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2493,2000,-50.9375,30.598000000000003,21.0,22.142,8.53414344,1.4793801969999998,27.3831219,0.8537613490000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2494,2001,-50.9375,34.431,21.0,24.016,0.0,2.356995552,27.68343552,0.6631762379999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2495,2002,-50.9375,33.766999999999996,21.0,22.316,0.53043408,2.103275905,23.019462899999997,0.680453367,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2496,2003,-50.9375,31.288,21.0,22.725,8.538437304,1.913572082,25.1703576,0.8179804190000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2497,2004,-50.9375,26.741,21.0,22.95,14.01271464,1.4776943790000001,16.74827316,0.9375989370000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2498,2005,-50.9375,26.339000000000002,21.0,22.173000000000002,1.2050628840000002,2.005377946,7.64420517,0.8598356229999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2499,2006,-50.9375,25.781,21.0,22.941999999999997,18.127436399999997,1.626743724,9.86118588,0.9567030259999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2500,2007,-50.9375,27.557,21.0,22.706,20.99074727,1.596871299,26.4018906,0.940649875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2501,2008,-50.9375,28.093000000000004,21.0,23.014,18.06393528,1.435558229,22.2416478,0.9411392120000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2502,2009,-50.9375,26.743000000000002,21.0,22.154,12.0540618,1.001716698,15.3304299,0.955296893,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2503,2010,-50.9375,26.61,21.0,19.91,15.470121599999999,0.875577797,21.88945962,0.9583418220000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2504,2011,-50.9375,30.245,21.0,20.776999999999997,0.187110828,1.4497169069999998,26.38389438,0.8307779909999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2505,2012,-50.9375,30.104,21.0,21.397,11.90300436,1.5576398169999999,27.34525901,0.877686247,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2506,2013,-50.9375,34.001,21.0,21.64,0.0,2.143505425,27.69102641,0.696397535,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2507,2014,-50.9375,33.196,21.0,22.258000000000003,0.760460515,2.3707764190000002,26.5842027,0.7245694509999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2508,2015,-50.9375,32.812,21.0,22.505,1.37157516,2.144038211,23.78458458,0.760831426,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2509,2016,-50.9375,30.191,21.0,22.548000000000002,7.93590588,1.6307585919999998,22.50697266,0.8497050359999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2510,2017,-50.9375,30.951999999999998,21.0,23.031,2.0599367180000003,1.692615356,26.483227199999998,0.808756852,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2511,1998,-50.9375,28.175,21.0,23.293000000000003,12.2497632,1.869721732,21.64376151,0.930838418,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2512,1999,-50.9375,26.761,21.0,22.572,22.98031668,1.548261006,19.39072446,0.94902715,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2513,2000,-50.9375,27.458000000000002,21.0,22.318,27.79025256,1.350180133,22.59967788,0.949496954,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2514,2001,-50.9375,26.654,21.0,21.055,19.20976135,1.279686517,20.577545100000002,0.9545852290000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2515,2002,-50.9375,27.221999999999998,21.0,20.991999999999997,14.10027174,1.468208076,22.15327014,0.9408633390000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2516,2003,-50.9375,27.79,21.0,22.778000000000002,9.091189692,1.5267700080000002,25.63081704,0.922846073,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2517,2004,-50.9375,29.909000000000002,21.0,22.82,5.49659628,1.55414987,27.13770954,0.853801184,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2518,2005,-50.9375,33.743,21.0,21.978,0.0,2.397434477,28.12646477,0.684672081,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2519,2006,-50.9375,34.555,21.0,23.365,0.0,2.5098484030000003,26.93633058,0.691027437,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2520,2007,-50.9375,31.728,21.0,22.656999999999996,0.065231316,2.068302005,21.91157172,0.748188835,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2521,2008,-50.9375,26.987,21.0,22.924,12.54844332,1.61276416,19.20070872,0.93948135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2522,2009,-50.9375,28.215,21.0,23.594,21.16584734,1.95064496,23.869293300000002,0.884117258,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2523,2010,-50.9375,32.03,21.0,23.389,0.761318057,2.33815696,21.39621282,0.7116986940000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2524,2011,-50.9375,27.246,21.0,23.199,26.79976735,2.0842114990000002,21.54402342,0.9184286970000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2525,2012,-50.9375,27.21,21.0,23.944000000000003,44.7435396,1.1135537640000002,11.55464622,0.9402151409999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2526,2013,-50.9375,26.095,21.0,23.088,44.26204093,1.276890932,3.07603116,0.96288152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2527,2014,-50.9375,26.293000000000003,21.0,22.541999999999998,7.046701445,0.8521612690000001,10.338462,0.939300902,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2528,2015,-50.9375,26.873,21.0,21.368000000000002,15.13795662,1.002086345,13.44667374,0.938267515,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2529,2016,-50.9375,33.445,21.0,22.436,7.4801484,1.665349956,26.91191178,0.773651043,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2530,2017,-50.9375,34.959,21.0,22.103,0.0,2.194372693,21.61006506,0.648910797,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2531,1998,-50.9375,35.486,21.0,21.665,0.0,2.501600696,27.29278152,0.668859092,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2532,1999,-50.9375,30.726,21.0,23.005,8.418273372,1.6445898540000001,24.8875839,0.812942281,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2533,2000,-50.9375,29.861,21.0,22.8,10.69793496,1.932516104,23.60755566,0.871830755,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2534,2001,-50.9375,32.228,21.0,22.956,3.0092256,1.914232062,16.32211697,0.797742597,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2535,2002,-50.9375,33.721,21.0,24.101999999999997,0.0,3.1975796830000003,26.40127581,0.59897964,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2536,2003,-50.9375,31.121,21.0,22.88,10.66360482,2.383089735,27.07182871,0.832222021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2537,2004,-50.9375,27.486,21.0,22.516,17.91286146,1.692527775,21.4734924,0.91319722,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2538,2005,-50.9375,27.849,21.0,23.18,32.9727132,1.512547279,23.46817068,0.9354663590000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2539,2006,-50.9375,27.026999999999997,21.0,22.614,12.35961864,1.534908975,16.97524434,0.9319412690000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2540,2007,-50.9375,32.199,21.0,22.014,6.251911776,1.561012408,25.52855364,0.808654545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2541,2008,-50.9375,32.061,21.0,21.511999999999997,8.36934948,1.323268032,23.70987864,0.852875838,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2542,2009,-50.9375,35.778,21.0,22.873,0.0,1.8692023269999998,19.65273444,0.669310101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2543,2010,-50.9375,35.568000000000005,21.0,22.398000000000003,0.08068086,2.684253702,26.918213399999996,0.665720954,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2544,2011,-50.9375,33.938,21.0,23.381,1.031684904,2.754293404,25.26930072,0.6788464059999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2545,2012,-50.9375,31.031999999999996,21.0,22.225,5.952363624,1.693995126,22.16795742,0.8043286070000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2546,2013,-50.9375,26.564,21.0,23.138,18.34030915,2.013417439,16.3870308,0.917933883,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2547,2014,-50.9375,26.47,21.0,22.973000000000003,23.92101072,2.3127713659999998,14.57082722,0.925985408,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2548,2015,-50.9375,32.98,21.0,22.63,1.3835909519999998,2.7782659260000004,27.78884694,0.713783625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2549,2016,-50.9375,25.506999999999998,21.0,22.674,21.64651056,1.658904568,7.13969712,0.93299015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2550,2017,-50.9375,29.426,21.0,22.680999999999997,8.413127906,1.250759282,22.16384586,0.8925098220000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2551,1998,-50.9375,29.646,21.0,22.217,12.75787618,1.314734861,22.26268422,0.900859477,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2552,1999,-50.9375,31.831999999999997,21.0,21.04,5.1395436,1.449093643,25.39771416,0.782166902,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2553,2000,-50.9375,33.539,21.0,20.335,2.240182159,1.42384184,21.565691100000002,0.767936417,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2554,2001,-50.9375,34.849000000000004,21.0,19.72,1.0505676959999999,1.9046116709999998,18.06204006,0.7290888390000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2555,2002,-50.9375,35.126999999999995,21.0,22.174,0.0,2.3509848019999997,22.5648594,0.652199444,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2556,2003,-50.9375,35.505,21.0,24.101999999999997,0.0,2.766314953,26.04588768,0.614360005,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2557,2004,-50.9375,31.164,21.0,21.523000000000003,8.78220144,1.554859651,24.96257208,0.788126058,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2558,2005,-50.9375,29.203000000000003,21.0,21.054000000000002,8.169363972000001,1.4102502940000001,21.81133062,0.863291754,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2559,2006,-50.9375,26.801,21.0,22.568,13.42391958,1.557675739,19.40658714,0.938197258,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2560,2007,-50.9375,27.293000000000003,21.0,22.124000000000002,28.821942,1.184334385,23.56976765,0.952753922,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2561,2008,-50.9375,29.136999999999997,21.0,22.528000000000002,4.422000528,2.05450668,25.6928607,0.868577668,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2562,2009,-50.9375,27.136999999999997,21.0,22.531,18.9445478,1.8491745380000002,23.324279399999998,0.9413518740000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2563,2010,-50.9375,25.339000000000002,21.0,22.804000000000002,27.82802052,1.459559144,10.33109604,0.969129492,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2564,2011,-50.9375,26.441,21.0,20.159000000000002,10.88247168,1.327631988,24.27441012,0.949055657,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2565,2012,-50.9375,28.744,21.0,20.581,5.44853196,1.277485753,24.0545205,0.870485555,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2566,2013,-50.9375,33.722,21.0,20.457,0.0,1.803495576,27.8681607,0.735777472,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2567,2014,-50.9375,34.522,21.0,21.748,0.0,2.21175935,26.68983318,0.70924542,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2568,2015,-50.9375,30.448,21.0,23.861,9.082604592000001,1.7883648840000002,26.16424092,0.790913,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2569,2016,-50.9375,26.049,21.0,21.684,4.861446912,1.128401943,6.62658138,0.9342936490000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2570,2017,-50.9375,26.195,21.0,22.491,20.19596389,1.273048057,15.232954500000002,0.94293868,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2571,1998,-50.9375,25.279,21.0,23.973000000000003,41.1918588,1.841497586,2.61860652,0.963987358,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2572,1999,-50.9375,28.044,21.0,22.363000000000003,22.46189184,1.709428275,26.80026041,0.939375595,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2573,2000,-50.9375,27.956999999999997,21.0,23.32,5.975532619,1.384166292,21.98452572,0.9299507140000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2574,2001,-50.9375,26.456,21.0,22.842,1.132965238,0.725833842,5.05479528,0.959398451,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2575,2002,-50.9375,28.641,21.0,20.121,4.339597176,0.9277188690000001,25.03063314,0.9187398440000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2576,2003,-50.9375,27.756999999999998,21.0,22.9,12.40768204,0.9869600620000001,24.56578782,0.945887623,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2577,2004,-50.9375,28.391,21.0,21.129,6.1677935999999995,1.21047351,25.82054964,0.929236542,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2578,2005,-50.9375,30.168000000000003,21.0,22.211,4.57992864,1.70378033,27.18590742,0.864439049,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2579,2006,-50.9375,33.891999999999996,21.0,23.508000000000003,2.15606484,2.1660155580000002,27.44763426,0.759208423,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2580,2007,-50.9375,33.03,21.0,21.956999999999997,5.46226776,2.089686765,26.28725958,0.76800688,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2581,2008,-50.9375,32.172,21.0,22.779,1.9569401419999999,1.9933746190000001,24.65178372,0.755577987,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2582,2009,-50.9375,27.218000000000004,21.0,22.195999999999998,9.93233039,1.6511975980000002,24.64335522,0.916695613,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2583,2010,-50.9375,26.741999999999997,21.0,21.011,3.419494092,1.6470150019999998,15.26408462,0.926205122,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2584,2011,-50.9375,30.186999999999998,21.0,20.871,3.113935099,1.816086104,25.7260527,0.82945499,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2585,2012,-50.9375,25.035,21.0,21.428,7.800293772000001,1.576323111,9.649013169,0.966769977,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2586,2013,-50.9375,27.055,21.0,22.052,10.08167491,1.6403163090000001,15.67249548,0.953203824,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2587,2014,-50.9375,26.066999999999997,21.0,22.39,12.89176888,0.99803541,17.5725944,0.968651247,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2588,2015,-50.9375,32.215,21.0,18.278,0.789642223,1.005048485,18.05283361,0.851757933,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2589,2016,-50.9375,25.795,21.0,19.777,12.3390205,1.16408361,17.48438792,0.959875532,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2590,2017,-50.9375,32.678000000000004,21.0,20.413,0.010299679,1.706490174,26.0674228,0.7488432420000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
