,0
1894,5.0
1895,0.0
1896,3.0
1897,1.0
1898,12.0
1899,18.0
1900,9.0
1901,5.0
1902,0.0
1903,14.0
1904,1.0
1905,32.0
1906,10.0
1907,1.0
1908,18.0
1909,9.0
1910,28.0
1911,61.0
1912,12.0
1913,0.0
1914,14.0
1915,10.0
1916,29.0
1917,12.0
1918,14.0
1919,10.0
1920,27.0
1921,85.0
1922,28.0
1923,23.0
1924,30.0
1925,59.0
1926,39.0
1927,21.0
1928,33.0
1929,80.0
1930,118.0
1931,52.0
1932,53.0
1933,0.0
1934,334.0
1935,11.0
1936,9.0
1937,9.0
1938,47.0
1939,11.0
1940,84.0
1941,21.0
1942,13.0
1943,25.0
1944,29.0
1945,86.0
1946,45.0
1947,37.0
1948,86.0
1949,44.0
1950,53.0
1951,117.0
1952,75.0
1953,0.0
1954,1.0
1955,4.0
1956,10.0
1957,48.0
1958,29.0
1959,36.0
1960,36.0
1961,29.0
1962,49.0
1963,20.0
1964,32.0
1965,65.0
1966,19.0
1967,57.0
1968,79.0
1969,80.0
1970,76.0
1971,136.0
1972,115.0
1973,0.0
1974,25.0
1975,16.0
1976,49.0
1977,78.0
1978,87.0
1979,32.0
1980,55.0
1981,22.0
1982,17.0
1983,36.0
1984,11.0
1985,105.0
1986,71.0
1987,89.0
1988,42.0
1989,138.0
1990,89.0
1991,167.0
1992,60.0
1993,0.0
1994,99.0
1995,58.0
1996,85.0
1997,171.0
1998,57.0
1999,157.0
2000,164.0
2001,33.0
2002,94.0
2003,41.0
2004,104.0
2005,239.0
2006,136.0
2007,103.0
2008,150.0
2009,210.0
2010,129.0
2011,233.0
2012,135.0
2013,172.0
2014,250.0
2015,222.0
2016,212.0
2017,302.0
2018,321.0
2019,422.0
2020,189.0
2021,70.0
2022,186.0
2023,55.0
2024,179.0
2025,278.0
2026,314.0
2027,245.0
2028,192.0
2029,318.0
2030,277.0
2031,289.0
2032,442.0
2033,512.0
2034,311.0
2035,332.0
2036,371.0
2037,686.0
2038,322.0
2039,778.0
2040,363.0
2041,169.0
2042,399.0
2043,193.0
2044,470.0
2045,941.0
2046,607.0
2047,564.0
2048,350.0
2049,446.0
2050,347.0
2051,837.0
2052,577.0
2053,2.218
2054,1.198
2055,925.0
2056,787.0
2057,1.4280000000000002
2058,902.0
2059,1.4980000000000002
2060,639.0
2061,588.0
2062,2.3819999999999997
2063,568.0
2064,647.0
2065,2.9139999999999997
2066,1.6130000000000002
2067,912.0
2068,488.0
2069,1.255
2070,943.0
2071,1.032
2072,1.492
2073,2.867
2074,1.8980000000000001
2075,1.2930000000000001
2076,1.8630000000000002
2077,3.52
2078,1.662
2079,2.965
2080,1.341
2081,1.463
2082,3.745
2083,1.255
2084,685.0
2085,5.075
2086,2.259
2087,2.452
2088,684.0
2089,1.6869999999999998
2090,2.296
2091,1.703
2092,3.238
2093,1.034
2094,743.0
2095,905.0
2096,479.0
2097,1.367
2098,1.183
2099,1.275
2100,1.7169999999999999
2101,178.0
2102,1.195
2103,1.2309999999999999
2104,367.0
2105,1.227
2106,476.0
2107,1.524
2108,606.0
2109,1.9469999999999998
2110,1.807
2111,522.0
2112,2.401
2113,47.0
2114,110.0
2115,26.0
2116,15.0
2117,192.0
2118,168.0
2119,291.0
2120,144.0
2121,91.0
2122,79.0
2123,90.0
2124,89.0
2125,67.0
2126,59.0
2127,57.0
2128,183.0
2129,181.0
2130,547.0
2131,123.0
2132,117.0
2133,13.0
2134,20.0
2135,6.0
2136,18.0
2137,115.0
2138,129.0
2139,56.0
2140,5.0
2141,7.0
2142,16.0
2143,6.0
2144,39.0
2145,48.0
2146,39.0
2147,93.0
2148,86.0
2149,68.0
2150,179.0
2151,64.0
2152,0.0
2153,54.0
2154,19.0
2155,29.0
2156,48.0
2157,436.0
2158,241.0
2159,450.0
2160,221.0
2161,428.0
2162,121.0
2163,240.0
2164,319.0
2165,124.0
2166,326.0
2167,209.0
2168,195.0
2169,494.0
2170,412.0
2171,187.0
2172,0.0
2173,6.0
2174,11.0
2175,1.0
2176,116.0
2177,11.0
2178,22.0
2179,56.0
2180,22.0
2181,13.0
2182,45.0
2183,20.0
2184,93.0
2185,9.0
2186,46.0
2187,62.0
2188,29.0
2189,95.0
2190,318.0
2191,47.0
2192,0.0
2193,17.0
2194,6.0
2195,0.0
2196,16.0
2197,16.0
2198,18.0
2199,9.0
2200,14.0
2201,52.0
2202,4.0
2203,33.0
2204,82.0
2205,22.0
2206,49.0
2207,30.0
2208,59.0
2209,53.0
2210,113.0
2211,32.0
2212,0.0
2213,4.0
2214,6.0
2215,2.0
2216,28.0
2217,79.0
2218,44.0
2219,43.0
2220,9.0
2221,5.0
2222,26.0
2223,14.0
2224,128.0
2225,37.0
2226,97.0
2227,62.0
2228,78.0
2229,119.0
2230,113.0
2231,91.0
2232,0.0
2233,3.0
2234,28.0
2235,21.0
2236,71.0
2237,60.0
2238,145.0
2239,74.0
2240,5.0
2241,73.0
2242,26.0
2243,19.0
2244,273.0
2245,73.0
2246,286.0
2247,100.0
2248,148.0
2249,194.0
2250,206.0
2251,142.0
2252,78.0
2253,32.0
2254,94.0
2255,100.0
2256,230.0
2257,338.0
2258,706.0
2259,529.0
2260,131.0
2261,515.0
2262,235.0
2263,279.0
2264,494.0
2265,602.0
2266,915.0
2267,498.0
2268,812.0
2269,887.0
2270,709.0
2271,885.0
2272,274.0
2273,258.0
2274,233.0
2275,549.0
2276,1.271
2277,1.103
2278,1.3659999999999999
2279,1.1520000000000001
2280,512.0
2281,1.205
2282,502.0
2283,972.0
2284,2.323
2285,1.024
2286,3.548
2287,1.111
2288,2.068
2289,1.642
2290,2.096
2291,2.521
2292,1.176
2293,895.0
2294,839.0
2295,2.037
2296,3.4810000000000003
2297,2.023
2298,1.889
2299,2.239
2300,1.382
2301,8.408999999999999
2302,713.0
2303,1.766
2304,6.353
2305,2.138
2306,10.395
2307,2.0980000000000003
2308,5.5920000000000005
2309,5.428
2310,3.7230000000000003
2311,3.875
2312,3.935
2313,1.739
2314,1.365
2315,4.618
2316,3.181
2317,5.877999999999999
2318,4.673
2319,6.292000000000001
2320,2.907
2321,8.524
2322,2.761
2323,2.404
2324,9.795
2325,4.632
2326,7.626
2327,3.88
2328,4.373
2329,6.422999999999999
2330,3.1660000000000004
2331,14.825
2332,5.1370000000000005
2333,3.208
