year,state,month,number,date
2014,Alagoas,Janeiro,54,"Wednesday, January 1, 2014"
2015,Alagoas,Janeiro,81,"Thursday, January 1, 2015"
2016,Alagoas,Janeiro,24,"Friday, January 1, 2016"
2017,Alagoas,Janeiro,38,"Sunday, January 1, 2017"
2017,Alagoas,Janeiro,38,"Sunday, January 1, 2017"
1998,Alagoas,Fevereiro,0,"Thursday, January 1, 1998"
1999,Alagoas,Fevereiro,20,"Friday, January 1, 1999"
2000,Alagoas,Fevereiro,16,"Saturday, January 1, 2000"
2001,Alagoas,Fevereiro,4,"Monday, January 1, 2001"
2002,Alagoas,Fevereiro,15,"Tuesday, January 1, 2002"
2003,Alagoas,Fevereiro,33,"Wednesday, January 1, 2003"
2004,Alagoas,Fevereiro,7,"Thursday, January 1, 2004"
2005,Alagoas,Fevereiro,31,"Saturday, January 1, 2005"
2006,Alagoas,Fevereiro,14,"Sunday, January 1, 2006"
2007,Alagoas,Fevereiro,28,"Monday, January 1, 2007"
2008,Alagoas,Fevereiro,74,"Tuesday, January 1, 2008"
2009,Alagoas,Fevereiro,32,"Thursday, January 1, 2009"
2010,Alagoas,Fevereiro,26,"Friday, January 1, 2010"
2011,Alagoas,Fevereiro,33,"Saturday, January 1, 2011"
2012,Alagoas,Fevereiro,41,"Sunday, January 1, 2012"
2013,Alagoas,Fevereiro,19,"Tuesday, January 1, 2013"
2014,Alagoas,Fevereiro,29,"Wednesday, January 1, 2014"
2015,Alagoas,Fevereiro,46,"Thursday, January 1, 2015"
2016,Alagoas,Fevereiro,14,"Friday, January 1, 2016"
2017,Alagoas,Fevereiro,21,"Sunday, January 1, 2017"
1998,Alagoas,Março,0,"Thursday, January 1, 1998"
1999,Alagoas,Março,52,"Friday, January 1, 1999"
2000,Alagoas,Março,32,"Saturday, January 1, 2000"
2001,Alagoas,Março,0,"Monday, January 1, 2001"
2002,Alagoas,Março,27,"Tuesday, January 1, 2002"
2003,Alagoas,Março,15,"Wednesday, January 1, 2003"
2004,Alagoas,Março,16,"Thursday, January 1, 2004"
2005,Alagoas,Março,35,"Saturday, January 1, 2005"
2006,Alagoas,Março,37,"Sunday, January 1, 2006"
2007,Alagoas,Março,7,"Monday, January 1, 2007"
2008,Alagoas,Março,31,"Tuesday, January 1, 2008"
2009,Alagoas,Março,31,"Thursday, January 1, 2009"
2010,Alagoas,Março,70,"Friday, January 1, 2010"
2011,Alagoas,Março,34,"Saturday, January 1, 2011"
2012,Alagoas,Março,44,"Sunday, January 1, 2012"
2013,Alagoas,Março,31,"Tuesday, January 1, 2013"
2014,Alagoas,Março,28,"Wednesday, January 1, 2014"
2015,Alagoas,Março,32,"Thursday, January 1, 2015"
2016,Alagoas,Março,9,"Friday, January 1, 2016"
2017,Alagoas,Março,23,"Sunday, January 1, 2017"
1998,Alagoas,Abril,0,"Thursday, January 1, 1998"
1999,Alagoas,Abril,4,"Friday, January 1, 1999"
2000,Alagoas,Abril,20,"Saturday, January 1, 2000"
2001,Alagoas,Abril,0,"Monday, January 1, 2001"
2002,Alagoas,Abril,6,"Tuesday, January 1, 2002"
2003,Alagoas,Abril,20,"Wednesday, January 1, 2003"
2004,Alagoas,Abril,6,"Thursday, January 1, 2004"
2005,Alagoas,Abril,1,"Saturday, January 1, 2005"
2006,Alagoas,Abril,2,"Sunday, January 1, 2006"
2007,Alagoas,Abril,1,"Monday, January 1, 2007"
2008,Alagoas,Abril,18,"Tuesday, January 1, 2008"
2009,Alagoas,Abril,5,"Thursday, January 1, 2009"
2010,Alagoas,Abril,3,"Friday, January 1, 2010"
2011,Alagoas,Abril,17,"Saturday, January 1, 2011"
2012,Alagoas,Abril,18,"Sunday, January 1, 2012"
2013,Alagoas,Abril,25,"Tuesday, January 1, 2013"
2014,Alagoas,Abril,16,"Wednesday, January 1, 2014"
2015,Alagoas,Abril,63,"Thursday, January 1, 2015"
2016,Alagoas,Abril,13,"Friday, January 1, 2016"
2017,Alagoas,Abril,7,"Sunday, January 1, 2017"
1998,Alagoas,Maio,0,"Thursday, January 1, 1998"
1999,Alagoas,Maio,1,"Friday, January 1, 1999"
2000,Alagoas,Maio,1,"Saturday, January 1, 2000"
2001,Alagoas,Maio,2,"Monday, January 1, 2001"
2002,Alagoas,Maio,1,"Tuesday, January 1, 2002"
2003,Alagoas,Maio,1,"Wednesday, January 1, 2003"
2004,Alagoas,Maio,3,"Thursday, January 1, 2004"
2005,Alagoas,Maio,0,"Saturday, January 1, 2005"
2006,Alagoas,Maio,0,"Sunday, January 1, 2006"
2007,Alagoas,Maio,0,"Monday, January 1, 2007"
2008,Alagoas,Maio,0,"Tuesday, January 1, 2008"
2009,Alagoas,Maio,0,"Thursday, January 1, 2009"
2010,Alagoas,Maio,0,"Friday, January 1, 2010"
2011,Alagoas,Maio,0,"Saturday, January 1, 2011"
2012,Alagoas,Maio,21,"Sunday, January 1, 2012"
2013,Alagoas,Maio,2,"Tuesday, January 1, 2013"
2014,Alagoas,Maio,1,"Wednesday, January 1, 2014"
2015,Alagoas,Maio,18,"Thursday, January 1, 2015"
2016,Alagoas,Maio,4,"Friday, January 1, 2016"
2017,Alagoas,Maio,1,"Sunday, January 1, 2017"
1998,Alagoas,Junho,0,"Thursday, January 1, 1998"
1999,Alagoas,Junho,0,"Friday, January 1, 1999"
2000,Alagoas,Junho,0,"Saturday, January 1, 2000"
2001,Alagoas,Junho,2,"Monday, January 1, 2001"
2002,Alagoas,Junho,0,"Tuesday, January 1, 2002"
2003,Alagoas,Junho,0,"Wednesday, January 1, 2003"
2004,Alagoas,Junho,0,"Thursday, January 1, 2004"
2005,Alagoas,Junho,0,"Saturday, January 1, 2005"
2006,Alagoas,Junho,0,"Sunday, January 1, 2006"
2007,Alagoas,Junho,0,"Monday, January 1, 2007"
2008,Alagoas,Junho,0,"Tuesday, January 1, 2008"
2009,Alagoas,Junho,0,"Thursday, January 1, 2009"
2010,Alagoas,Junho,0,"Friday, January 1, 2010"
2011,Alagoas,Junho,2,"Saturday, January 1, 2011"
2012,Alagoas,Junho,4,"Sunday, January 1, 2012"
2013,Alagoas,Junho,1,"Tuesday, January 1, 2013"
2014,Alagoas,Junho,2,"Wednesday, January 1, 2014"
2015,Alagoas,Junho,2,"Thursday, January 1, 2015"
2016,Alagoas,Junho,5,"Friday, January 1, 2016"
2017,Alagoas,Junho,2,"Sunday, January 1, 2017"
1998,Alagoas,Julho,0,"Thursday, January 1, 1998"
1999,Alagoas,Julho,0,"Friday, January 1, 1999"
2000,Alagoas,Julho,0,"Saturday, January 1, 2000"
2001,Alagoas,Julho,0,"Monday, January 1, 2001"
2002,Alagoas,Julho,5,"Tuesday, January 1, 2002"
2003,Alagoas,Julho,0,"Wednesday, January 1, 2003"
2004,Alagoas,Julho,0,"Thursday, January 1, 2004"
2005,Alagoas,Julho,0,"Saturday, January 1, 2005"
2006,Alagoas,Julho,0,"Sunday, January 1, 2006"
2007,Alagoas,Julho,0,"Monday, January 1, 2007"
2008,Alagoas,Julho,0,"Tuesday, January 1, 2008"
2009,Alagoas,Julho,0,"Thursday, January 1, 2009"
2010,Alagoas,Julho,2,"Friday, January 1, 2010"
2011,Alagoas,Julho,0,"Saturday, January 1, 2011"
2012,Alagoas,Julho,0,"Sunday, January 1, 2012"
2013,Alagoas,Julho,0,"Tuesday, January 1, 2013"
2014,Alagoas,Julho,1,"Wednesday, January 1, 2014"
2015,Alagoas,Julho,0,"Thursday, January 1, 2015"
2016,Alagoas,Julho,3,"Friday, January 1, 2016"
2017,Alagoas,Julho,0,"Sunday, January 1, 2017"
1998,Alagoas,Agosto,1,"Thursday, January 1, 1998"
1999,Alagoas,Agosto,3,"Friday, January 1, 1999"
2000,Alagoas,Agosto,4,"Saturday, January 1, 2000"
2001,Alagoas,Agosto,1,"Monday, January 1, 2001"
2002,Alagoas,Agosto,3,"Tuesday, January 1, 2002"
2003,Alagoas,Agosto,2,"Wednesday, January 1, 2003"
2004,Alagoas,Agosto,2,"Thursday, January 1, 2004"
2005,Alagoas,Agosto,2,"Saturday, January 1, 2005"
2006,Alagoas,Agosto,1,"Sunday, January 1, 2006"
2007,Alagoas,Agosto,3,"Monday, January 1, 2007"
2008,Alagoas,Agosto,1,"Tuesday, January 1, 2008"
2009,Alagoas,Agosto,0,"Thursday, January 1, 2009"
2010,Alagoas,Agosto,1,"Friday, January 1, 2010"
2011,Alagoas,Agosto,4,"Saturday, January 1, 2011"
2012,Alagoas,Agosto,0,"Sunday, January 1, 2012"
2013,Alagoas,Agosto,0,"Tuesday, January 1, 2013"
2014,Alagoas,Agosto,3,"Wednesday, January 1, 2014"
